Field ID,Crop_Lucerne/Medics,Crop_Planted pastures (perennial),Crop_Fallow,Crop_Wine grapes,Crop_Weeds,Crop_Small grain grazing,Crop_Wheat,Crop_Canola,Crop_Rooibos
0,0.020548038,0.21006797,0.07344362,0.08596867,0.47056824,0.01893534,0.008928456,0.0031127403,0.10842699
5,5.8719215e-06,2.1920527e-05,2.8789238e-08,1.511414e-05,5.2855082e-08,0.0026994706,0.99642295,0.0008345814,7.3118644e-10
10,0.35935056,0.49510437,0.024426615,0.0007464052,0.0053908518,0.10466929,0.008136442,0.0018664335,0.0003090688
11,0.206401,0.33753973,0.01784264,0.00064882,0.007639792,0.4096895,0.014778018,0.00502128,0.00043930637
17,0.00020349985,0.008980385,0.4047758,0.00030964805,0.38614464,0.1817179,0.0006095349,7.6022436e-05,0.017182563
18,0.0010768439,0.122481346,0.08318949,0.0014564618,0.786393,0.005135186,5.2160274e-05,8.083726e-06,0.0002074546
27,0.97472787,0.014728193,0.0002345021,3.948923e-06,4.5334535e-05,0.006512883,0.0036246928,0.00012148406,1.1777536e-06
30,0.019297764,0.29887432,0.032066144,0.0005314045,0.26480213,0.33991677,0.029826485,0.004565342,0.010119662
31,0.016208537,0.48636568,0.009636733,0.44418177,0.027731977,0.012912946,0.0027106155,0.00019305148,5.8698693e-05
32,0.0030205515,0.07420875,0.010513592,0.85419977,0.05121802,0.0039193905,0.0028996998,9.415462e-06,1.0941385e-05
39,0.8683171,0.11665764,0.0067641037,0.004657889,0.002834944,0.00073104165,3.0898802e-05,3.9892398e-06,2.475944e-06
41,0.000325194,4.755547e-05,0.004274656,0.98269534,0.012647076,7.0452543e-06,3.1705144e-06,3.2124447e-08,5.034624e-08
48,0.22101507,0.76241815,0.0002038965,0.0003259503,0.00030302827,0.014745379,0.0008005878,0.00017873856,9.19121e-06
49,0.0025423972,0.24122438,3.9692335e-05,3.9780774e-05,0.00020367747,0.74365,0.0116060935,0.00068883656,5.168283e-06
53,0.341731,0.573487,0.0016380146,0.013838444,0.068856105,0.0003386178,8.835044e-05,1.4921205e-05,7.5281896e-06
54,5.764526e-07,7.318787e-07,6.870087e-05,0.99984384,8.6074826e-05,4.8587565e-09,6.141496e-08,1.1588903e-12,1.8282795e-12
56,0.8242085,0.012081135,0.00063319283,3.4640965e-05,0.0004365396,0.1294832,0.029863592,0.0032305773,2.854918e-05
59,0.00495319,0.5557608,0.008098531,0.0021563198,0.3080554,0.10536615,0.009675199,0.0004937856,0.005440629
60,0.0020014772,0.0034299637,0.00017698883,7.8649624e-05,2.5756759e-05,0.96501565,0.029230328,4.0572566e-05,7.0151634e-07
64,0.022963528,0.118262336,0.066139445,0.75648594,0.035117656,0.00069381256,0.0001656831,1.8880122e-05,0.0001527429
67,0.0043565733,0.005476265,0.00021359051,0.001065399,7.628433e-05,0.059218798,0.8042966,0.12509929,0.00019714137
75,0.08805309,0.08487651,0.09822589,0.006311752,0.004545857,0.63432944,0.07833656,0.0051162336,0.00020463575
83,0.0096999,0.00028438587,0.000106322455,1.8492205e-05,4.650428e-06,0.026721096,0.96310544,5.9584294e-05,1.8904109e-07
